,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
0,Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5
1,Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3
2,Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2
3,Audi,Q5,2023,2.0,Electric,Manual,160971,2,1
4,Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3
5,Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4
6,Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1
7,Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2
8,Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4
9,Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5
10,BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3
11,Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3
12,Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4
13,Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1
14,Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2
15,Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1
16,Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2
17,Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2
18,Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3
19,Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1
20,Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1
21,Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2
22,Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4
23,Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2
24,Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4
25,Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4
26,Audi,A3,2022,3.3,Electric,Manual,79350,5,3
27,BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3
