,Price
0,8501
1,12092
2,11171
3,11780
4,2867
5,7242
6,11208
7,7950
8,9926
9,6545
10,5863
11,11444
12,10842
13,4820
14,5981
15,9697
16,14837
17,11576
18,2351
19,11207
20,13374
21,8863
22,6266
23,7701
24,12402
25,8856
26,14413
27,10645
28,12584
29,9963
30,9327
31,10232
32,9327
33,11696
34,9150
35,9728
36,7231
37,4159
38,6852
39,4411
40,6627
41,8690
42,7879
43,9762
44,11833
45,6092
46,3924
47,8494
48,9271
49,5799
50,6694
51,10670
52,4685
53,11864
54,13538
55,6679
56,10556
57,3245
58,11241
59,8293
60,5538
61,9093
62,14887
63,6953
64,8594
65,7689
66,4355
67,4252
68,7802
69,9093
70,7084
71,15065
72,11635
73,9550
74,9957
75,10622
76,8970
77,14059
78,11568
79,11710
80,11638
81,9388
82,8263
83,10872
84,7009
85,10255
86,6547
87,3209
88,2123
89,13558
90,9853
91,9302
92,3975
93,10962
94,7841
95,9520
96,11454
97,10997
98,8633
99,9795
100,12736
101,5535
102,5374
103,13946
104,3970
105,8220
106,11075
107,6079
108,14433
109,12117
110,10326
111,11815
112,9143
113,9881
114,12173
115,2019
116,9531
117,6565
118,14737
119,7464
120,10249
121,7738
122,8741
123,9423
124,2967
125,8270
126,13472
127,10830
128,10512
129,6417
130,8892
131,12156
132,7075
133,5106
134,9347
135,8127
136,11655
137,4651
138,12217
139,8511
140,9443
141,7237
142,11961
143,6700
144,6758
145,10327
146,17258
147,8572
148,5809
149,13982
150,11435
151,8672
152,10883
153,6058
154,12364
155,6227
156,11109
157,6774
158,6464
159,8373
160,7443
161,4507
162,3606
163,6541
164,6836
165,3300
166,2065
167,11682
168,10634
169,6781
170,7363
171,12279
172,6223
173,10056
174,8153
175,6970
176,9790
177,11379
178,13749
179,5111
180,8921
181,6493
182,7564
183,2809
184,11564
185,6084
186,11970
187,4908
188,9142
189,13650
190,13384
191,11969
192,8819
193,10168
194,10000
195,13789
196,10102
197,4297
198,11161
199,6499
200,11955
201,11409
202,12564
203,11188
204,8376
205,10152
206,7941
207,7958
208,6065
209,11825
210,2670
211,10408
212,11252
213,15240
214,7761
215,6651
216,3559
217,8206
218,10056
219,9720
220,6762
221,5208
222,6696
223,3632
224,8008
225,10341
226,10106
227,13287
228,11261
229,7933
230,5330
231,13268
232,2000
233,5447
234,14760
235,10039
236,5861
237,3259
238,4680
239,5571
240,9038
241,12960
242,8741
243,6250
244,6439
245,12607
246,12829
247,5155
248,6439
249,10660
250,12720
251,3176
252,8658
253,7929
254,5598
255,5954
256,7883
257,11884
258,7105
259,9656
260,4351
261,5462
262,4870
263,13017
264,9080
265,9477
266,6678
267,10909
268,12095
269,12085
270,9059
271,10939
272,3197
273,4728
274,9516
275,8158
276,11846
277,5744
278,6636
279,14158
280,10159
281,3971
282,5499
283,4704
284,7458
285,2603
286,8580
287,10684
288,11156
289,12786
290,4498
291,8536
292,7010
293,10076
294,5345
295,9152
296,4811
297,9702
298,5570
299,6383
300,8755
301,6840
302,13274
303,11578
304,14001
305,6191
306,9366
307,8991
308,8352
309,10915
310,8415
311,5940
312,7321
313,13122
314,9221
315,7438
316,10105
317,10894
318,10871
319,12676
320,9796
321,13586
322,11408
323,4955
324,4506
325,8316
326,12239
327,6362
328,6927
329,11676
330,13428
331,8373
332,5711
333,8739
334,8287
335,9319
336,11441
337,11846
338,14052
339,11828
340,8785
341,13636
342,8425
343,6505
344,6963
345,9819
346,7162
347,11666
348,3784
349,8638
350,10295
351,2000
352,8559
353,4392
354,7311
355,5156
356,7286
357,4833
358,8402
359,6240
360,7882
361,4314
362,14648
363,6557
364,10294
365,7965
366,3091
367,8772
368,5989
369,5347
370,6237
371,2958
372,11416
373,9724
374,10305
375,7071
376,9530
377,8382
378,10899
379,5791
380,11081
381,6561
382,9703
383,12527
384,12371
385,10938
386,13542
387,6950
388,5535
389,3988
390,11488
391,6115
392,12665
393,7911
394,10318
395,7226
396,10531
397,7137
398,4635
399,6541
400,11659
401,6051
402,9500
403,5120
404,10714
405,3519
406,11718
407,4034
408,9666
409,7825
410,6597
411,6235
412,7494
413,15839
414,7446
415,9780
416,6212
417,5420
418,8577
419,4817
420,13378
421,7858
422,10636
423,10135
424,8954
425,9799
426,9456
427,8873
428,13196
429,11951
430,6657
431,8282
432,7643
433,10998
434,4783
435,12527
436,7423
437,5419
438,8581
439,4979
440,10267
441,4207
442,8524
443,8152
444,12634
445,14507
446,11256
447,7928
448,2551
449,12641
450,14564
451,7673
452,6866
453,11306
454,10234
455,8090
456,8673
457,12033
458,14300
459,8306
460,7069
461,5832
462,2974
463,9627
464,3234
465,7384
466,7918
467,8311
468,12091
469,13427
470,11431
471,5063
472,7750
473,11282
474,5947
475,6742
476,11614
477,11608
478,8717
479,11436
480,5340
481,4869
482,9989
483,7629
484,7428
485,13911
486,9084
487,9558
488,8974
489,7390
490,8693
491,9796
492,10247
493,8264
494,12690
495,2061
496,9519
497,14623
498,7349
499,8025
500,6313
501,9469
502,14703
503,12149
504,4442
505,9942
506,5139
507,11399
508,7193
509,10801
510,11714
511,9333
512,15458
513,11848
514,5005
515,10049
516,9986
517,9815
518,13261
519,5542
520,10724
521,9700
522,11697
523,8914
524,2068
525,10399
526,11969
527,5992
528,10712
529,4177
530,5826
531,9608
532,12408
533,4102
534,6140
535,7499
536,6940
537,7852
538,8998
539,8684
540,15491
541,6063
542,6670
543,14938
544,9656
545,9299
546,9883
547,13032
548,12556
549,7021
550,6735
551,10905
552,9086
553,8292
554,9738
555,10540
556,2445
557,9235
558,5539
559,11548
560,10771
561,9657
562,2598
563,4530
564,8102
565,13231
566,15692
567,13298
568,8853
569,6043
570,6137
571,7819
572,7279
573,9693
574,6030
575,11615
576,8292
577,9375
578,2898
579,5789
580,8773
581,13034
582,13674
583,11135
584,9763
585,14309
586,13041
587,7556
588,6588
589,7523
590,11208
591,10804
592,10022
593,7971
594,6806
595,9045
596,10850
597,8104
598,13130
599,15733
600,9820
601,11061
602,10365
603,4759
604,9889
605,2547
606,6022
607,11555
608,7417
609,8068
610,11058
611,9304
612,7544
613,14101
614,10513
615,9002
616,4806
617,12714
618,10401
619,6629
620,7020
621,10911
622,12231
623,12018
624,9070
625,8751
626,4472
627,13768
628,8797
629,6528
630,5418
631,5161
632,9025
633,7360
634,4110
635,5312
636,2000
637,7629
638,8957
639,7697
640,12340
641,10679
642,7633
643,9379
644,10489
645,15396
646,9276
647,10373
648,12176
649,11430
650,7510
651,11233
652,3519
653,11768
654,9635
655,9129
656,7080
657,8569
658,7896
659,11210
660,8849
661,9559
662,15018
663,3930
664,9021
665,5444
666,13072
667,8588
668,10289
669,5988
670,11452
671,8335
672,9834
673,14154
674,8162
675,11872
676,7292
677,11658
678,8088
679,3490
680,9120
681,5889
682,10370
683,8228
684,8031
685,12330
686,3628
687,10132
688,9536
689,11057
690,12875
691,8230
692,6909
693,12394
694,10266
695,14682
696,9739
697,5751
698,10221
699,4269
700,10686
