,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
0,Hyundai,Sonata,2000,4.4,Hybrid,Manual,133953,5,5
1,Audi,Q5,2000,4.2,Hybrid,Manual,27565,4,4
2,Toyota,Corolla,2004,3.5,Petrol,Manual,213763,4,3
3,Mercedes,GLA,2001,2.1,Petrol,Automatic,3660,3,5
4,Volkswagen,Tiguan,2015,1.4,Electric,Semi-Automatic,235687,2,2
5,Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2
6,Audi,A3,2022,1.3,Petrol,Semi-Automatic,161773,2,1
7,Kia,Rio,2012,3.0,Hybrid,Manual,89882,5,5
8,Audi,A3,2010,1.9,Electric,Semi-Automatic,206722,5,2
9,Honda,CR-V,2015,2.2,Electric,Manual,164031,4,5
10,Honda,CR-V,2013,4.4,Petrol,Automatic,152998,4,2
11,Toyota,RAV4,2023,2.4,Petrol,Semi-Automatic,240972,2,3
12,Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5
13,Kia,Rio,2006,4.1,Diesel,Manual,134712,2,2
14,Toyota,Corolla,2016,1.2,Petrol,Semi-Automatic,203550,2,3
15,Mercedes,E-Class,2019,2.8,Hybrid,Manual,28078,5,3
16,Kia,Rio,2017,2.5,Electric,Semi-Automatic,225526,4,4
17,Kia,Rio,2004,4.2,Petrol,Automatic,48634,4,4
18,Toyota,Corolla,2003,1.5,Electric,Semi-Automatic,28708,3,4
19,BMW,X5,2007,3.9,Electric,Manual,259103,4,5
20,Mercedes,E-Class,2006,4.5,Diesel,Manual,117365,3,3
21,Honda,Accord,2005,3.1,Electric,Manual,263013,3,4
22,Chevrolet,Impala,2009,1.9,Electric,Manual,273001,3,2
23,Hyundai,Sonata,2017,1.9,Hybrid,Automatic,67747,2,2
24,Kia,Rio,2003,2.6,Hybrid,Automatic,51216,5,1
25,Kia,Optima,2002,4.5,Diesel,Manual,261006,3,5
26,Audi,A3,2005,3.1,Diesel,Manual,225946,4,2
27,BMW,3 Series,2001,3.9,Petrol,Semi-Automatic,61962,4,3
28,Chevrolet,Equinox,2011,4.5,Diesel,Semi-Automatic,89049,2,5
29,Audi,A3,2002,3.3,Petrol,Automatic,244633,3,2
30,Chevrolet,Equinox,2017,1.4,Diesel,Semi-Automatic,88027,4,4
31,Audi,Q5,2008,4.3,Diesel,Semi-Automatic,270670,3,2
32,Chevrolet,Equinox,2020,1.1,Hybrid,Automatic,219136,5,1
33,Kia,Rio,2012,2.8,Electric,Semi-Automatic,154469,3,4
34,Chevrolet,Malibu,2018,3.6,Petrol,Automatic,91539,2,1
35,Ford,Focus,2000,2.0,Hybrid,Manual,277609,3,4
36,Kia,Rio,2020,4.3,Hybrid,Automatic,270057,5,4
37,Audi,A3,2005,4.8,Petrol,Automatic,240527,5,1
38,BMW,5 Series,2016,1.4,Diesel,Automatic,126236,4,1
39,Chevrolet,Impala,2018,4.2,Electric,Manual,146145,4,3
40,Audi,A3,2003,1.7,Diesel,Automatic,255899,3,1
41,Toyota,RAV4,2017,2.5,Electric,Automatic,188471,4,5
42,Hyundai,Sonata,2020,1.9,Petrol,Semi-Automatic,30074,5,2
43,Ford,Explorer,2006,4.0,Diesel,Semi-Automatic,266380,4,1
44,Volkswagen,Passat,2011,1.2,Diesel,Semi-Automatic,144904,5,5
45,Ford,Fiesta,2016,1.7,Petrol,Manual,241003,2,4
46,Toyota,RAV4,2015,4.6,Diesel,Manual,13395,5,5
47,Chevrolet,Impala,2011,2.1,Petrol,Semi-Automatic,226259,2,2
48,Ford,Focus,2014,3.8,Diesel,Semi-Automatic,91618,4,4
49,Kia,Optima,2023,4.7,Diesel,Automatic,161209,3,4
50,Volkswagen,Tiguan,2014,4.8,Diesel,Semi-Automatic,8546,3,5
51,Audi,A4,2015,3.7,Petrol,Automatic,135789,2,2
52,Toyota,Corolla,2015,3.7,Electric,Manual,285532,3,3
53,Toyota,RAV4,2017,4.4,Hybrid,Automatic,38918,3,2
54,Ford,Explorer,2023,3.2,Hybrid,Automatic,239837,4,5
55,Mercedes,GLA,2013,4.4,Petrol,Semi-Automatic,144737,4,2
56,Audi,A4,2010,3.4,Hybrid,Automatic,281978,3,2
57,Honda,Accord,2009,2.5,Petrol,Semi-Automatic,185382,4,1
58,Mercedes,GLA,2022,2.9,Electric,Manual,217102,4,2
59,Ford,Focus,2006,3.3,Petrol,Semi-Automatic,204468,2,4
60,Audi,A4,2021,3.5,Diesel,Semi-Automatic,59699,3,3
61,Toyota,Corolla,2008,1.3,Electric,Manual,82111,2,5
62,Honda,CR-V,2018,3.4,Diesel,Automatic,87261,4,1
63,Ford,Focus,2015,3.8,Petrol,Semi-Automatic,173937,4,4
64,Kia,Optima,2002,2.7,Diesel,Automatic,293857,5,5
65,Audi,A3,2019,1.7,Electric,Automatic,130959,4,4
66,Volkswagen,Passat,2014,1.8,Petrol,Automatic,220551,3,4
67,Toyota,Corolla,2008,3.8,Petrol,Semi-Automatic,226997,3,5
68,Hyundai,Elantra,2004,2.5,Electric,Manual,298642,4,2
69,Mercedes,E-Class,2013,2.2,Electric,Manual,54896,2,4
70,Audi,Q5,2000,3.8,Petrol,Automatic,192924,5,4
71,Audi,A4,2005,1.5,Hybrid,Semi-Automatic,34067,4,4
72,Audi,Q5,2023,3.4,Electric,Manual,71686,4,3
73,Mercedes,C-Class,2021,2.7,Diesel,Automatic,94677,3,5
74,BMW,5 Series,2011,2.9,Electric,Automatic,270773,5,5
75,Hyundai,Elantra,2005,1.8,Diesel,Manual,171240,5,4
76,Volkswagen,Golf,2005,1.3,Diesel,Semi-Automatic,290532,4,3
77,Mercedes,C-Class,2003,4.4,Hybrid,Manual,106352,2,5
78,Mercedes,GLA,2010,2.1,Electric,Manual,276357,3,4
79,Hyundai,Tucson,2021,4.5,Petrol,Manual,227466,5,5
80,BMW,X5,2004,1.4,Petrol,Semi-Automatic,66995,4,1
81,BMW,X5,2011,4.6,Electric,Semi-Automatic,232629,3,2
82,Chevrolet,Equinox,2012,2.3,Electric,Semi-Automatic,195479,2,4
83,Hyundai,Elantra,2015,3.8,Petrol,Semi-Automatic,211545,2,5
84,Volkswagen,Tiguan,2009,3.5,Petrol,Automatic,114527,4,5
85,Kia,Rio,2020,1.8,Hybrid,Automatic,28207,5,5
86,Honda,Accord,2019,2.1,Petrol,Automatic,1068,2,1
87,Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5
88,Kia,Rio,2001,1.2,Hybrid,Semi-Automatic,217685,5,3
89,Kia,Optima,2000,2.7,Petrol,Automatic,296210,3,3
90,Volkswagen,Golf,2004,3.0,Diesel,Manual,265576,3,1
91,Toyota,Corolla,2021,2.4,Petrol,Automatic,273754,3,4
92,Volkswagen,Tiguan,2023,1.0,Hybrid,Automatic,136461,4,2
93,Audi,Q5,2017,3.6,Hybrid,Manual,203663,3,3
94,BMW,X5,2019,4.2,Hybrid,Manual,80609,2,4
95,Hyundai,Tucson,2002,4.4,Petrol,Manual,253283,4,1
96,Chevrolet,Impala,2011,2.9,Electric,Semi-Automatic,232148,3,1
97,Chevrolet,Malibu,2022,3.0,Diesel,Manual,5679,2,4
98,Mercedes,GLA,2010,3.6,Diesel,Automatic,271846,5,3
99,Audi,A3,2015,2.8,Petrol,Automatic,246588,3,2
100,Ford,Fiesta,2007,2.5,Diesel,Automatic,283885,4,3
101,Honda,Accord,2011,3.3,Diesel,Automatic,216830,3,5
102,Toyota,Corolla,2005,1.4,Diesel,Semi-Automatic,264092,3,1
103,Kia,Rio,2001,3.6,Petrol,Automatic,183666,4,5
104,Volkswagen,Tiguan,2015,3.2,Petrol,Semi-Automatic,204013,4,5
105,Toyota,Camry,2005,3.9,Electric,Manual,36092,2,4
106,Audi,Q5,2021,3.5,Petrol,Manual,248083,2,5
107,Hyundai,Elantra,2001,1.6,Electric,Manual,170043,3,1
108,Mercedes,GLA,2022,5.0,Petrol,Automatic,211047,4,2
109,BMW,3 Series,2003,4.2,Electric,Manual,272876,4,5
110,Chevrolet,Malibu,2000,2.7,Diesel,Semi-Automatic,267764,2,1
111,Mercedes,C-Class,2020,1.9,Electric,Automatic,166138,5,5
112,BMW,3 Series,2002,4.7,Diesel,Manual,87544,3,1
113,Chevrolet,Malibu,2013,2.7,Diesel,Manual,41577,3,5
114,Toyota,Camry,2020,4.6,Petrol,Automatic,184309,2,4
115,Mercedes,C-Class,2022,3.9,Diesel,Semi-Automatic,91711,4,4
116,Hyundai,Tucson,2012,1.6,Hybrid,Manual,293903,4,2
117,Volkswagen,Golf,2022,4.0,Petrol,Manual,145763,4,2
118,Volkswagen,Tiguan,2001,1.3,Diesel,Automatic,12264,3,4
119,Mercedes,GLA,2021,4.3,Hybrid,Semi-Automatic,86892,4,2
120,Audi,Q5,2019,4.8,Petrol,Manual,14821,2,2
121,Volkswagen,Tiguan,2021,4.1,Diesel,Automatic,37195,4,5
122,Kia,Rio,2011,3.4,Petrol,Semi-Automatic,194364,2,5
123,Kia,Rio,2001,3.9,Hybrid,Manual,168949,2,2
124,Volkswagen,Passat,2018,3.0,Diesel,Semi-Automatic,77132,5,1
125,BMW,5 Series,2008,3.8,Hybrid,Semi-Automatic,224616,4,4
